stock_code,stock_name,shares,weight,date
2330,台積電,1555000,10.018,2026-01-23
8299,群聯,840000,6.1149,2026-01-23
5536,聖暉*,2410000,6.0,2026-01-23
6669,緯穎,385000,5.1779,2026-01-23
3264,欣銓,6508000,3.5768,2026-01-23
7769,鴻勁,263000,3.5706,2026-01-23
2345,智邦,713000,3.0493,2026-01-23
6139,亞翔,1512000,3.0378,2026-01-23
2360,致茂,786000,2.9324,2026-01-23
2308,台達電,632000,2.8984,2026-01-23
6257,矽格,5862000,2.8484,2026-01-23
2383,台光電,428000,2.8041,2026-01-23
2441,超豐,7602000,2.7559,2026-01-23
3017,奇鋐,509000,2.5474,2026-01-23
6223,旺矽,275000,2.5474,2026-01-23
2451,創見,2733000,2.3725,2026-01-23
3036,文曄,4185000,2.2315,2026-01-23
3491,昇達科,547000,2.1502,2026-01-23
3665,貿聯-KY,399136,2.0193,2026-01-23
2059,川湖,155000,2.014,2026-01-23
5439,高技,1796000,1.9349,2026-01-23
2428,興勤,2834000,1.8258,2026-01-23
2449,京元電子,1688000,1.7602,2026-01-23
2421,建準,2965000,1.6511,2026-01-23
4958,臻鼎-KY,2634000,1.6346,2026-01-23
6274,台燿,866000,1.5886,2026-01-23
3008,大立光,170000,1.5221,2026-01-23
6805,富世達,289000,1.4516,2026-01-23
2316,楠梓電,3837000,1.3756,2026-01-23
2404,漢唐,364000,1.305,2026-01-23
1785,光洋科,4200000,0.986,2026-01-23
2472,立隆電,1926000,0.8237,2026-01-23
8358,金居,781000,0.7803,2026-01-23
5289,宜鼎,266000,0.7213,2026-01-23
2454,聯發科,87000,0.5161,2026-01-23
6488,環球晶,250000,0.4804,2026-01-23
2606,裕民,2000000,0.4513,2026-01-23
5425,台半,1770000,0.4258,2026-01-23
2327,國巨*,371000,0.3936,2026-01-23
3711,日月光投控,323000,0.3615,2026-01-23
2368,金像電,145000,0.3409,2026-01-23
3324,雙鴻,100000,0.3385,2026-01-23
8210,勤誠,95000,0.335,2026-01-23
2481,強茂,1028000,0.3348,2026-01-23
3376,新日興,360000,0.2967,2026-01-23
3231,緯創,596000,0.2961,2026-01-23
9938,百和,1461000,0.2749,2026-01-23
8464,億豐,144000,0.2203,2026-01-23
6446,藥華藥,100583,0.2196,2026-01-23
6177,達麗,1200350,0.2188,2026-01-23
8996,高力,78000,0.2038,2026-01-23
6472,保瑞,100000,0.1954,2026-01-23
5274,信驊,6000,0.1937,2026-01-23
2885,元大金,1117420,0.1689,2026-01-23
8046,南電,104000,0.1446,2026-01-23
1319,東陽,360000,0.1415,2026-01-23
4441,振大環球,60000,0.0601,2026-01-23
6768,志強-KY,41000,0.0159,2026-01-23
2548,華固,29600,0.0116,2026-01-23
3443,創意,1000,0.0099,2026-01-23
3529,力旺,1000,0.0055,2026-01-23
1519,華城,600,0.0022,2026-01-23
7722,LINEPAY,1000,0.0018,2026-01-23
3706,神達,1400,0.0004,2026-01-23
2886,兆豐金,1000,0.0001,2026-01-23
2881,富邦金,250,0.0,2026-01-23
2330,台積電,1555000,9.9373,2026-01-26
8299,群聯,840000,6.3468,2026-01-26
5536,聖暉*,2410000,5.7919,2026-01-26
6669,緯穎,385000,5.3833,2026-01-26
3264,欣銓,6508000,3.8035,2026-01-26
7769,鴻勁,263000,3.6343,2026-01-26
2345,智邦,713000,2.9857,2026-01-26
6139,亞翔,1512000,2.9785,2026-01-26
2360,致茂,786000,2.905,2026-01-26
6257,矽格,5862000,2.9029,2026-01-26
2441,超豐,7602000,2.8373,2026-01-26
2308,台達電,632000,2.8306,2026-01-26
2383,台光電,428000,2.7117,2026-01-26
6223,旺矽,275000,2.5885,2026-01-26
3017,奇鋐,509000,2.5392,2026-01-26
3036,文曄,4185000,2.2477,2026-01-26
3491,昇達科,547000,2.2308,2026-01-26
3665,貿聯-KY,399136,2.0783,2026-01-26
6274,台燿,1096000,2.0433,2026-01-26
5439,高技,1796000,2.0306,2026-01-26
2059,川湖,155000,1.9754,2026-01-26
2449,京元電子,1688000,1.8286,2026-01-26
2428,興勤,2834000,1.7956,2026-01-26
2421,建準,2965000,1.6464,2026-01-26
